trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
32,False,"{'a': 0.5, 'e': 0.00390625}",20,0,6.124866619233278,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.0036730945821854912}",20,0,-13.468546759362464,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.0034602076124567475}",20,0,3.8550264353326424,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.0032653061224489797}",25,0,-34.816585776045784,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.0030864197530864196}",20,0,19.771570700704093,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.0029218407596785976}",25,0,17.77925479894058,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.002770083102493075}",20,0,-13.809976445917863,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.0026298487836949377}",30,0,-44.40024942114099,"{0: 26, 1: 2, 2: 0, 3: 1, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.0025}",25,0,-31.305213669965326,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.002379535990481856}",25,13,-31.519724601109278,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.0022675736961451248}",25,10,-24.317025248346045,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.002163331530557058}",20,8,12.226665117636275,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.002066115702479339}",20,0,17.71972497013807,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.0019753086419753087}",25,0,37.395238827437154,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.001890359168241966}",25,1,15.495319856825969,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.0018107741059302852}",25,5,25.58197507585877,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.001736111111111111}",25,0,-0.7095569052459998,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.001665972511453561}",20,0,24.703735976806936,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.0016}",30,0,29.60235761510978,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.0015378700499807767}",25,0,35.33261784941171,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.0014792899408284023}",25,6,23.71300220443226,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
